label_name,total_extral,total_inside
1,71076.65873169899,82310.34700274467
2,4574.873673915863,1132.1262419223785
3,70130.21203875542,183257.4063718319
4,29483.556735515594,9080.611437559128
5,43142.492324113846,104877.48499512672
6,106787.78005242348,304887.6178383827
7,33634.1663479805,9434.065544605255
8,36623.25351834297,21779.62690591812
